abs fee rates diff,TX - higher fee rate (>=+0.5),fee rate,txn,block height,block hash,master node,TX - lower fee rate (<=-0.5),fee rate,txn
1.03694601,0c00283e4923b85f8268aa8841a00f6ceda5b61eee4b5ce6e81883520ef4e66c,142.55319150,2,2391255,96b7bf1dbe407a9f915a5572929e4973c694fc8be619062eb6bff318275212b5,cf0665412eda880fe68b9df6a8f8e724676e91389c7430fa763861215f870668,106cdcfba5c412515dac5824f2bc06f049a6e219e766aa6e04d5c678a0f22de0,141.51624549,1
6.65199744,1c6337ee3507c81db6da6aa868aaf56d60eb6241fc6f974bedbc02fc1eaee32b,7.38709678,2,2391085,310c537fb00791d790621940ccbe301f5fa942277129b5ede4a494a160b18b75,589ac721e2f0a3db054f6cb4de97bf994c8ba335613d17a6b8c2e996a689b139,7b132752ecd092514e110fe41ccbc6aebac9b05a86b9bb2770fc2324cb5e46cd,0.73509934,1
6.65199744,c285e1392071d4229ddf582b72bd12a4821d29dc860cff8fa8a12d7239bfa789,7.38709678,2,2391084,3e76cb99668f973daf8f1203ee5bcab960874f465cc1bc3267aeb7840958c973,0a0c093ff5a3d15e9f6f094ff25cedf99acef82c87e1f468a35cce3131d185f5,e199d7019b0036f30f7a7b08f8f8f49b59ec0bf63f7f9345ed7c6b6899c4908e,0.73509934,1
6.65199744,1535ab17469e7b4471dc6e28b8143ab533567eec6f3e4b0233e4475dd0e08c24,7.38709678,2,2391076,51833a966cbbf51eb8c7310fd63aca331e2a1687f6ac41e3b51d04140abbf7d8,12bc9497b82d0b3d7fb88245709e0c215d3aea34f22751d511b0546f5aa8fa3b,881bbe42c6772bb4c7012c1b4abb00410bfb9fad57646575e51b39c267db58de,0.73509934,1
1.03694600,9b291d1908f3d135d2eaa28ab972c8510f3e195a749c48eeb223afab5faa0285,142.55319149,2,2391026,8c2028115f2a7da88d97571da0a97f2f8ff7b8ca6cf59262a09b61818d828936,166210866a730df99271c332d860f167b90092ed9e1fd51aee54c3f509d5f3ae,d628b612764d33007b07895972d51e29b25573531702e8b511eacba7692958dd,141.51624549,1
0.84200436,e7e37f5b58c09328bb62ae338d37db667f2e7e545552f9850006ddde56e47922,1.55477032,6,2385584,87bd1805b1e69f3ccbd420d02a95722da9c68f6920dd302929c942b3f2216397,a21a9e3e405c20fc6541a84d2f8042e1f4adeb8e2733a9ad4a1a2b9895cb00f0,d4058f6b451ece2305599711de26ab75ff776c087ca6a8b7e6eac0aa3d398406,0.71276596,4
6.65555315,a9e793b099561b3ad0c42283c70235df047fed0b4df794e7872db41fcea06e3f,7.38709678,2,2383439,59c314a89d7e9798d41c8480f19d97156b7c1b6dbcf0cce76bf1e75b7eac3cfa,4548e83f91911b3fdf4aa7fdcb418d6541f85f162f95dc0e22c2a62d5fe0b8ad,722f0dc79291523f35f0cc1df3788ca31ee6fe88d4edbfe996bb54a70b9088be,0.73154363,1
6.65555315,6f988e6e69d677c7cfd79b2ef4d619babc24bcf0cfda89ee5dea1ec6dd508b6d,7.38709678,2,2383435,c5bcdacce4d92e2ca0cf0fb5a447c77a460f74da20ef5fd92eb01db2578c6af3,ba2179fea090923bcb895df7e2c57c6f8451032246c4ceebe06ff67ea402cad0,1dc6d922922c2312d96fc27fc2ad056a35bf3bd62e289515c86fcebbeb98b1aa,0.73154363,1
1322.77610706,5ef756c6a6f5fb93ecde20ee0a79d03ab7c16daf2fb5de8f0720ff313505752e,935267.13780919,2,2382293,c6b1913cf7d10640ea387a33a050ba45766a671bdb4e760814a2f99cc0f78ae4,449c8449d287f077686ab79423a8645d1a80805c4bf241f6a3ad066f2ec6725f,2e6059827abf4ad0c5ebc85e58498248c3f27fe3a1fa22a208777dd4269448a6,933944.36170213,1
6.65199759,4957805a2daa9bf4dcbe02aad656d2e169dd1f06f77204592e52ef0375ff3aeb,7.38709699,7,2382230,cbf545569542b4784d078ae8bf85a93965f0dd60bc3013972c98baa7a4a92686,914ed0bc51ba312c6cfee6b3b72d7f5283562af19b9935eb598befb5ea0d50f8,5f12d08bdf60b9e3e27cfc94ebf9b069e525a51d99d7901f827dfe5168e1927f,0.73509940,6
6.65199730,6373acd12617e96eb15491035d3f2cde2a82e24b8bcfaed45eba8212e7f7df85,7.38709670,5,2382228,a71ac418f9a5fb3cba5c3c229369c954838bbd30e7f33be974619ccdb7e86268,46c29eb3f87e6405592033df1d7380af6cd58101d10e19a8065f6c60f7df046b,a5668d5cff9970c72a229ed613c1b87f21b81f641b3b4a1fbee7c16e833a1199,0.73509940,4
611.21908127,08980912ae974d8c334effba8762d9e2af01a09ed143d87ab7c34b1b5e48196f,221486.21908128,4,2382224,9aeb8dcb943bcf36c22d6ea8eaf67ee7463f88b6b43c433f5e8e5719aa9cfc8d,3e339234f62f6b1154b71cf82a522de56daa0dce167d38bf382e2e47fda65a28,cc2c71489974e02849aca525dae9cdf05d6e0076d54962a03ce380ee08db83e4,220875.00000001,2
618.35689045,9882cbbaa58972b5a2beeac492c347b367f44b9175ebfd81be0f1767b36259bc,221493.35689046,3,2382224,9aeb8dcb943bcf36c22d6ea8eaf67ee7463f88b6b43c433f5e8e5719aa9cfc8d,3e339234f62f6b1154b71cf82a522de56daa0dce167d38bf382e2e47fda65a28,cc2c71489974e02849aca525dae9cdf05d6e0076d54962a03ce380ee08db83e4,220875.00000001,2
7862.67605634,b4c239a242ec2396cea1373b74c321eb7cb407af70224def67d9cef990e3c20f,59327.46478874,4,2382201,55767e34731f274ed8b9303b25f81d2d33bd985bad1f8eb08fc02e05eb9b4454,3db19e44c02494a1acbdf06b55d0c176db724aca7bb2f9b5797daa343f10ffda,fb649486c4b7add12e2b8c76dbd3b59aa51013645f691c5bf2f665027ff58d71,51464.78873240,1
7862.67605634,6567dedfa373d5f48e56d9ad2aee2e53df3d2eb08bae9ecd22565adfe340851b,59327.46478874,5,2382201,55767e34731f274ed8b9303b25f81d2d33bd985bad1f8eb08fc02e05eb9b4454,3db19e44c02494a1acbdf06b55d0c176db724aca7bb2f9b5797daa343f10ffda,fb649486c4b7add12e2b8c76dbd3b59aa51013645f691c5bf2f665027ff58d71,51464.78873240,1
19913.30314040,97f413f5ddd26ac57516dbb884183734c6b103cb36cf3ee498e6d645b53d1383,71378.09187280,4,2382187,b64a3e79fb50f842591532fcecf796e6e3e3855151a32af324053737a66e994c,74e6065b29b4d97e491a3dcd81c1ed8ca6e0326d3697207dd1fe6f61d3801268,131a466582b8063b3eb277655728c3fc0219c39a382e177110924d1d18c6a3f5,51464.78873240,2
