dc_tx_id,block_height,txn,gained_a,amount_a,token_a,gained_b,amount_b,token_b,shares
97c3dacf5e794f974f8f13ce754df5f65bcd4bf1935bd45f5188800b391c46ef,2634949,1,-1148.63601751,916569.59870701,DUSD,-0.00000001,1336143.07713580,DFI,-1075363.06672026
bfa5b2259cdcceecd1f0ca3cd9bbfd67595cbf99b00aefba3ea44e5595b02d03,2634948,17,0,-1336143.07713581,DFI,0,-917718.23472452,DUSD,1075363.06672026
3241c0afbf46670e9eaddf11fc8a880f85d4a369bb51c29d2b299f3240ec5588,2634888,6,-192.06756552,915319.24466191,DUSD,280.30680298,1336141.07629690,DFI,-1074670.16705908
a2b235ad4dca134ade3730b84342b12281ea0a6b29676999f410eb71b24e3db5,2634884,1,0,-1335860.76949392,DFI,0,-915511.31222743,DUSD,1074670.16705908
fcb1480915ba5d2538e1f30c3e994a40349ff8880d1d9fcedfead7777a8cd754,2634790,1,-190.81498799,913337.24674785,DUSD,279.02520296,1335858.41447295,DFI,-1073392.45578797
bfa9789a3aa204d0bd02c6fc32915dee0a7e2a759e4d47e5570d7fac5e6d9e93,2634785,1,0,-1335579.38926999,DFI,0,-913528.06173584,DUSD,1073392.45578797
6513e9ce04d58f64efc8fb797cbbeb7ef03bb7b779c7368d3a9b6d80e71c115b,2634672,1,-381.76406028,913292.60511672,DUSD,-0.00000001,1335579.03013543,DFI,-1073253.97433263
77815f8451da553849ab486dd96088a76fb6eb8221ec841064aad205bd51cab2,2634671,2,0,-1335579.03013544,DFI,0,-913674.36917700,DUSD,1073253.97433263
8cca470f4f2567b9e7f8a7d2f9ad2bfd4edf012e87909a2a7f7a8b8e1c551165,2634550,8,-381.60512819,913201.13545029,DUSD,-0.00000002,1335576.67562263,DFI,-1073213.11721976
cbc73d806b0f1bfb4ecd32af8106c29de782ddb40bb8eb41b7fe46e3aae5c0ec,2634545,40,0,-1335576.67562265,DFI,0,-913582.74057848,DUSD,1073213.11721976
b8a3c11d4f21dcd4c7cdb55674894d3ecce0753c56448b60171670978d225305,2634434,9,-190.79279176,913215.69230062,DUSD,278.97046088,1335575.03925873,DFI,-1073234.84304928
69274f11a7a57e127a6b316b4050ac1c9cc27d5f70d0e6c5b37521eed0eddc3c,2634431,1,0,-1335296.06879785,DFI,0,-913406.48509238,DUSD,1073234.84304928
0c31c20589dfb5acc4e223be2e132bcfa966d61d89d5b9b18af48a85c883890c,2634295,7,-134.99571928,912971.00882137,DUSD,-0.00000001,1335295.15267451,DFI,-1072978.60879821
3e75f527c85fa8ab66dd2561dda6323f218cc4b8c1e41e3ac25daaf8f2725643,2634293,18,0,-1335295.15267452,DFI,0,-913106.00454065,DUSD,1072978.60879821
40c553416a8cdba1dfeca609b6fdc8f587fe388dcb5e5890fa07a9d2ab2b57a6,2634290,2,-190.85085415,913105.38328001,DUSD,279.03390976,1335294.23430986,DFI,-1073062.09293376
9fac58f87ddf2cd03d90c9d6c74096f0c07ed43133ccfd60248057e95305af95,2634289,1,0,-1335015.20040010,DFI,0,-913296.23413416,DUSD,1073062.09293376
d5db8690f821f526698c4f969c923f8f38adbdc99cdef7b94f7d33b20a95ac8f,2634180,7,-381.16649714,912119.08661294,DUSD,-0.00000001,1335013.92365747,DFI,-1072369.82298651
ffd36b617f3753f0b4d3daff67d0dd4ce94e5124fdac6d27f79130f0ed149aec,2634178,7,0,-1335013.92365748,DFI,0,-912500.25311008,DUSD,1072369.82298651
