                from address                | transactions | min fee starting at 0.5 |   max fee    |        avg fee
--------------------------------------------+--------------+-------------------------+--------------+------------------------
 df1qxwxrywmjqc50kvazakpuuguu354h49lkpydvxu |         3549 |              0.50073684 |  33.80052300 |     3.0013738595970696
 df1q4ddjat08p94x2fmua0ztnrp4wak8ak8rjhvny2 |         3384 |              0.50144053 | 194.16532517 |     8.6131856307417258
 dNtADFviLiNvh4xLvioQVhqoX2TpQgLR6A         |         1360 |              0.52000000 |  40.00000000 |     3.2642243059044118
 df1q9zn73ca4mt39qe76mkxa4vf4caqsxuhk8d9wgw |         1335 |              0.53225152 | 300.00000001 |    15.5014929184719101
 df1ql0655hx8yufsdff6ncw5zhdm26pwna8ctj0c98 |         1092 |              0.50250000 |  23.69850000 |     2.9528513747161172
 df1q3sn4e5mz2du9y9tvuq9s5dt70mzrdm4a62ttc2 |          975 |              0.50500000 |  85.74142904 |     4.1201168417948718
 df1qamj6pp30h9y3syqcz8nwnekzg8dswul3tw5kjy |          681 |              0.50086190 | 151.40200000 |     2.8445083013950073
 dY9AmbtTukBwShiKLznXUbvLSN5i3LPFip         |          530 |              0.50160000 |  50.61600000 |     4.9197382481132075
 df1qnvqle0tgyqr0xqecnx94e9z2znm6fhdjkz0gvx |          402 |              0.50036033 |  14.99999998 |     2.0158188363930348
 dKkQBBLDPper36FsEZrEaxVHQax3BMKs6n         |          323 |              0.50160700 |  35.18623068 |     2.7885643578637771
 dPUcppi3t4LVRzsKPYuaXLEDBzZgHE7JTB         |          309 |              0.50961502 |   3.81360000 |     1.0416342437864078
 dT7akH4RTNXRwP2oaf38kPn8Jbr7erNmWS         |          241 |              0.54400000 |  19.20000000 |     2.5305970954356846
 df1qnj89lcfzxzneq7aqxcpgggwjre2nsjnc584dcy |          183 |              0.50441440 | 149.04000000 |    11.8761859042622951
 dVUvWva8gbs2SxnqytvVw1W9pwbGnMdHZ4         |          163 |              0.54120854 |   7.37116552 |     1.6612204647852761
 dRjFhHtXS4a2uibf6wgi5qgvMYb59TWg9P         |          125 |              0.51888000 |  10.27500000 | 0.94944703904000000000
 daaviMKQpDhh7AoZPu5MdHm2aWHbaGNp8f         |          116 |              0.50238960 |   4.53999886 | 0.91739890043103448276
 df1qu257nrqvr4wg5u9mjpv0m2xpnkgqkd4egc68qd |          101 |              0.50926610 | 355.98403171 |    56.3999465421782178
 df1qapm7fnul4wsf6dgzj3tfufm5f7dmsu95cza5cx |           97 |              0.50291220 | 112.05600000 |    32.9132424240206186
 dYFhpaAxtCegQxH6PWfXk5sek2D1vYZJ8p         |           91 |              0.69000000 |   5.98000000 |     1.0160439560439560
 dazewCkFnaw4o67RQrS5FATMKy9mAcohNA         |           91 |              0.50029462 |   2.85300000 | 0.83993518703296703297
 dVNib8EbGyyFMC2nXSrrkgsbN5rBUue1f9         |           81 |              0.66570000 |   0.95340000 | 0.94715206790123456790
 8PzFNiwZQop5Cgqi844GTppWZq8QUtUdZF         |           79 |              0.50000134 |  15.10000000 |     4.8845949611392405
 dTjmAPWrEMbxQvu6i9he8DrvGP5oHs64L2         |           74 |              0.52414780 |  42.21000000 |     2.0482045659459459
 dSL3EeZUoZkgjwBNHDSg9fX4DyP6zUNPKM         |           69 |              0.59010010 |   7.87701030 |     2.6633945143478261
 dFVLMPkXGGVPZvzTQVmdmhCAP5PU5hFwvU         |           68 |              0.50600000 |   8.62851660 |     1.7730024107352941
