abs fee rates diff (0.55),TX 1,higher fee rate,lower txn,from - TX 1,to - TX 1,block height,block hash,master node,TX 2,lower fee rate,higher txn,from - TX 2,to - TX 2
12364.99850157,9e71e3f49a742efa60528f625f667758be4b18f9257bbc2e47acaf9dadff865b,63829.78723405,3,df1qamj6pp30h9y3syqcz8nwnekzg8dswul3tw5kjy,df1qamj6pp30h9y3syqcz8nwnekzg8dswul3tw5kjy,2391545,c360c89956e4be30138f66f2291472958916e575fbc9d6f8af07dbbdfb321726,ab806bc3ac930d8c20d2eda8e97f80f6d31655dad0da4278ce1873fe0e3ef9b6,51024ca3ed75cc21f4f854863ba67727ed3900dd65b3369ebea129558242363c,51464.78873248,1,df1q9zn73ca4mt39qe76mkxa4vf4caqsxuhk8d9wgw,df1q9zn73ca4mt39qe76mkxa4vf4caqsxuhk8d9wgw
1322.77610706,5ef756c6a6f5fb93ecde20ee0a79d03ab7c16daf2fb5de8f0720ff313505752e,935267.13780919,2,df1q9zn73ca4mt39qe76mkxa4vf4caqsxuhk8d9wgw,df1q9zn73ca4mt39qe76mkxa4vf4caqsxuhk8d9wgw,2382293,c6b1913cf7d10640ea387a33a050ba45766a671bdb4e760814a2f99cc0f78ae4,449c8449d287f077686ab79423a8645d1a80805c4bf241f6a3ad066f2ec6725f,2e6059827abf4ad0c5ebc85e58498248c3f27fe3a1fa22a208777dd4269448a6,933944.36170213,1,df1q3sn4e5mz2du9y9tvuq9s5dt70mzrdm4a62ttc2,df1q3sn4e5mz2du9y9tvuq9s5dt70mzrdm4a62ttc2
611.21908127,08980912ae974d8c334effba8762d9e2af01a09ed143d87ab7c34b1b5e48196f,221486.21908128,4,df1qnj89lcfzxzneq7aqxcpgggwjre2nsjnc584dcy,df1qnj89lcfzxzneq7aqxcpgggwjre2nsjnc584dcy,2382224,9aeb8dcb943bcf36c22d6ea8eaf67ee7463f88b6b43c433f5e8e5719aa9cfc8d,3e339234f62f6b1154b71cf82a522de56daa0dce167d38bf382e2e47fda65a28,cc2c71489974e02849aca525dae9cdf05d6e0076d54962a03ce380ee08db83e4,220875.00000001,2,df1q3sn4e5mz2du9y9tvuq9s5dt70mzrdm4a62ttc2,df1q3sn4e5mz2du9y9tvuq9s5dt70mzrdm4a62ttc2
618.35689045,9882cbbaa58972b5a2beeac492c347b367f44b9175ebfd81be0f1767b36259bc,221493.35689046,3,df1qnj89lcfzxzneq7aqxcpgggwjre2nsjnc584dcy,df1qnj89lcfzxzneq7aqxcpgggwjre2nsjnc584dcy,2382224,9aeb8dcb943bcf36c22d6ea8eaf67ee7463f88b6b43c433f5e8e5719aa9cfc8d,3e339234f62f6b1154b71cf82a522de56daa0dce167d38bf382e2e47fda65a28,cc2c71489974e02849aca525dae9cdf05d6e0076d54962a03ce380ee08db83e4,220875.00000001,2,df1q3sn4e5mz2du9y9tvuq9s5dt70mzrdm4a62ttc2,df1q3sn4e5mz2du9y9tvuq9s5dt70mzrdm4a62ttc2
7862.67605634,b4c239a242ec2396cea1373b74c321eb7cb407af70224def67d9cef990e3c20f,59327.46478874,4,df1qamj6pp30h9y3syqcz8nwnekzg8dswul3tw5kjy,df1qamj6pp30h9y3syqcz8nwnekzg8dswul3tw5kjy,2382201,55767e34731f274ed8b9303b25f81d2d33bd985bad1f8eb08fc02e05eb9b4454,3db19e44c02494a1acbdf06b55d0c176db724aca7bb2f9b5797daa343f10ffda,fb649486c4b7add12e2b8c76dbd3b59aa51013645f691c5bf2f665027ff58d71,51464.78873240,1,df1qnj89lcfzxzneq7aqxcpgggwjre2nsjnc584dcy,df1qnj89lcfzxzneq7aqxcpgggwjre2nsjnc584dcy
7862.67605634,6567dedfa373d5f48e56d9ad2aee2e53df3d2eb08bae9ecd22565adfe340851b,59327.46478874,5,df1qamj6pp30h9y3syqcz8nwnekzg8dswul3tw5kjy,df1qamj6pp30h9y3syqcz8nwnekzg8dswul3tw5kjy,2382201,55767e34731f274ed8b9303b25f81d2d33bd985bad1f8eb08fc02e05eb9b4454,3db19e44c02494a1acbdf06b55d0c176db724aca7bb2f9b5797daa343f10ffda,fb649486c4b7add12e2b8c76dbd3b59aa51013645f691c5bf2f665027ff58d71,51464.78873240,1,df1qnj89lcfzxzneq7aqxcpgggwjre2nsjnc584dcy,df1qnj89lcfzxzneq7aqxcpgggwjre2nsjnc584dcy
19913.30314040,97f413f5ddd26ac57516dbb884183734c6b103cb36cf3ee498e6d645b53d1383,71378.09187280,4,df1qamj6pp30h9y3syqcz8nwnekzg8dswul3tw5kjy,df1qamj6pp30h9y3syqcz8nwnekzg8dswul3tw5kjy,2382187,b64a3e79fb50f842591532fcecf796e6e3e3855151a32af324053737a66e994c,74e6065b29b4d97e491a3dcd81c1ed8ca6e0326d3697207dd1fe6f61d3801268,131a466582b8063b3eb277655728c3fc0219c39a382e177110924d1d18c6a3f5,51464.78873240,2,df1q3sn4e5mz2du9y9tvuq9s5dt70mzrdm4a62ttc2,df1q3sn4e5mz2du9y9tvuq9s5dt70mzrdm4a62ttc2
0.98638756,06691080d4f2e2e8ce5ea02c0cba9803fc67e6eb1dee4b2977ce9be733644929,7.38709678,3,df1qp22sv86ckuxe43eg4a0492z3zjqy8qlpcnar8e,df1qp22sv86ckuxe43eg4a0492z3zjqy8qlpcnar8e,2380943,6cdcd7f6502b389c36405988967471b41952e056e8597bca063660a16a491702,e2369fb4bc70fc29f7c01792e2aa10bc9870f6b9a1367c00e0ce612680dd9bad,5aa107b765ba1c392e273080563fee5e90be02162d5d1f30d9295f2afdd59b8d,6.40070922,1,dH2Gqqy19ZF2qWDW9ySzfGxSGvtiXVBuAe,dH2Gqqy19ZF2qWDW9ySzfGxSGvtiXVBuAe
131554.31765058,89b677fe0e1db9a184122d027ee0cec9d770f7d56527194670da135b566353d9,183019.10638298,3,df1qamj6pp30h9y3syqcz8nwnekzg8dswul3tw5kjy,df1qamj6pp30h9y3syqcz8nwnekzg8dswul3tw5kjy,2380119,500eba4efb9987ebfd39dcac7b78838643c84cab0a6930931f103741d44d1a64,00e7de45790cc65fe9044f5f8f9e8247b7039f958f8071c0208ec859d4bb25e7,711aafe6e556cab4463fa55e5f388170481638216700760499b56acea54b1a46,51464.78873240,1,df1qp22sv86ckuxe43eg4a0492z3zjqy8qlpcnar8e,df1qp22sv86ckuxe43eg4a0492z3zjqy8qlpcnar8e
19920.44094958,78f846b2a62a4025ee889fbba96fe1a659ae687a0ee00386ff85e219832727b0,71385.22968198,6,df1qamj6pp30h9y3syqcz8nwnekzg8dswul3tw5kjy,df1qamj6pp30h9y3syqcz8nwnekzg8dswul3tw5kjy,2376955,8c6f45c6211ef1cd4660f6dd8f71928329796c3465119d73db4154a5ae46d83b,39418fbabc12f42fc817e2330ce113a5c4fd72cdb97c721d74fac45f5fca2409,bfa403bef6bed2cfa87f82f878c9fbd6aaf4a884a46e85852ab86b0dab065583,51464.78873240,1,df1q3sn4e5mz2du9y9tvuq9s5dt70mzrdm4a62ttc2,df1q3sn4e5mz2du9y9tvuq9s5dt70mzrdm4a62ttc2
